Gorontalo;1;Dumbo Raya;1;Botu;Aman;Aman;Aman
Gorontalo;2;Dumbo Raya;2;Bugis;Siaga;Siaga;Siaga
Gorontalo;3;Dumbo Raya;3;Leato Selatan;Aman;Aman;Aman
Gorontalo;4;Dumbo Raya;4;Leato Utara;Siaga;Siaga;Siaga
Gorontalo;5;Dumbo Raya;5;Talumolo;Siaga;Siaga;Siaga
Gorontalo;6;Dungingi;6;Huangobotu;Siaga;Siaga;Siaga
Gorontalo;7;Dungingi;7;Libuo;Siaga;Siaga;Siaga
Gorontalo;8;Dungingi;8;Tomulabutao;Siaga;Siaga;Siaga
Gorontalo;9;Dungingi;9;Tomulabutao Selatan;Aman;Aman;Aman
Gorontalo;10;Dungingi;10;Tuladenggi;Siaga;Siaga;Siaga
Gorontalo;11;Hulonthalangi;11;Tuladenggi;Aman;Aman;Aman
Gorontalo;12;Hulonthalangi;12;Pohe;Siaga;Siaga;Siaga
Gorontalo;13;Hulonthalangi;13;Siendeng;Siaga;Siaga;Siaga
Gorontalo;14;Hulonthalangi;14;Tanjung Kramat;Siaga;Siaga;Siaga
Gorontalo;15;Hulonthalangi;15;Tenda;Siaga;Siaga;Siaga
Gorontalo;16;Kota Barat;16;Buladu;Aman;Aman;Aman
Gorontalo;17;Kota Barat;17;Buliide;Aman;Aman;Aman
Gorontalo;18;Kota Barat;18;Dembe I;Aman;Aman;Aman
Gorontalo;19;Kota Barat;19;Lekobalo;Aman;Aman;Aman
Gorontalo;20;Kota Barat;20;Molosifat;Siaga;Siaga;Siaga
Gorontalo;21;Kota Barat;21;Pilolodaa;Aman;Aman;Aman
Gorontalo;22;Kota Barat;22;Tenilo;Aman;Aman;Aman
Gorontalo;23;Kota Selatan;23;Biawao;Waspada;Siaga;Siaga
Gorontalo;24;Kota Selatan;24;Biawu;Waspada;Siaga;Siaga
Gorontalo;25;Kota Selatan;25;Limba B;Siaga;Siaga;Siaga
Gorontalo;26;Kota Selatan;26;Limba U I;Siaga;Siaga;Siaga
Gorontalo;27;Kota Selatan;27;Limba U II;Aman;Aman;Aman
Gorontalo;28;Kota Tengah;28;Dulalowo;Siaga;Siaga;Siaga
Gorontalo;31;Kota Tengah;31;Paguyaman;Siaga;Siaga;Siaga
Gorontalo;32;Kota Tengah;32;Pulubala;Siaga;Siaga;Siaga
Gorontalo;34;Kota Timur;34;Heledulaa Selatan;Aman;Aman;Aman
