Kabupaten Berau,Kelay,"Desa Merapun, Kec. Kelay, Kab. Berau",Aman
Kabupaten Berau,Kelay,"Desa Merbabu, Kec. Kelay, Kab. Berau",Aman
Kabupaten Berau,Kelay,"Desa Mapulu, Kec. Kelay, Kab. Berau",Aman
Kabupaten Berau,Kelay,"Desa Panaan, Kec. Kelay, Kab. Berau",Aman
Kabupaten Berau,Kelay,"Desa Merasa, Kec. Kelay, Kab. Berau",Aman
Kabupaten Berau,Kelay,"Desa Muara Lesan, Kec. Kelay, Kab. Berau",Aman
Kabupaten Berau,Kelay,"Desa Lesan Dayak, Kec. Kelay, Kab. Berau",Aman
Kabupaten Berau,Kelay,"Desa Sido Bangen, Kec. Kelay, Kab. Berau",Aman
Kabupaten Berau,Kelay,"Desa Long Beliu, Kec. Kelay, Kab. Berau",Aman
Kabupaten Berau,Kelay,"Desa Long Duhung, Kec. Kelay, Kab. Berau",Aman
Kabupaten Berau,Kelay,"DesaLong Keluh, Kec. Kelay, Kab. Berau",Aman
Kabupaten Berau,Kelay,"Desa Long Pelay, Kec. Kelay, Kab. Berau",Aman
Kabupaten Berau,Kelay,"Desa Long Lamcin, Kec. Kelay, Kab. Berau",Aman
Kabupaten Berau,Kelay,"Desa Long Sului, Kec. Kelay, Kab. Berau",Aman
Kabupaten Berau,Talisayan,"Desa Talisayan, Kec. Talisayan, Kab. Berau",Waspada
Kabupaten Berau,Talisayan,"Desa Suka Murya, Kec. Talisayan, Kab. Berau",Siaga
Kabupaten Berau,Talisayan,"Desa Campur Sari, Kec. Talisayan, Kab. Berau",Aman
Kabupaten Berau,Talisayan,"Desa Bumi Jaya, Kec. Talisayan, Kab. Berau",Aman
Kabupaten Berau,Talisayan,"Desa Tunggal Bumi, Kec. Talisayan, Kab. Berau",Aman
Kabupaten Berau,Talisayan,"Desa Dumaring, Kec. Talisayan, Kab. Berau",Aman
Kabupaten Berau,Talisayan,"Desa Purna Sari Jaya, Kec. Talisayan, Kab. Berau",Aman
Kabupaten Berau,Talisayan,"Desa Sumber Mulia, Kec. Talisayan, Kab. Berau",Aman
Kabupaten Berau,Talisayan,"Desa Eka Sapta, Kec. Talisayan, Kab. Berau",Aman
Kabupaten Berau,Talisayan,"Desa Capuak, Kec. Talisayan, Kab. Berau",Aman
Kabupaten Berau,Tabalar,"Desa Buyung-Buyung, Kec. Tabalar, Kab. Berau",Siaga
Kabupaten Berau,Tabalar,"Desa Tabalar Ulu, Kec. Tabalar, Kab. Berau",Aman
Kabupaten Berau,Tabalar,"Desa Tabalar Muara, Kec. Tabalar, Kab. Berau",Aman
Kabupaten Berau,Tabalar,"Desa Harapan Maju, Kec. Tabalar, Kab. Berau",Aman
Kabupaten Berau,Tabalar,"Desa Tubaan, Kec. Tabalar, Kab. Berau",Aman
Kabupaten Berau,Tabalar,"Desa Semurut, Kec. Tabalar, Kab. Berau",Aman
Kabupaten Berau,Biduk-Biduk,"Desa Biduk-Biduk, Kec. Biduk-Biduk, Kab. Berau",Siaga
Kabupaten Berau,Biduk-Biduk,"Desa Teluk Sumbang, Kec. Biduk-Biduk, Kab. Berau",Aman
Kabupaten Berau,Biduk-Biduk,"Desa Pantai Harapan, Kec. Biduk-Biduk, Kab. Berau",Aman
Kabupaten Berau,Biduk-Biduk,"Desa Tanjung Perepat, Kec. Biduk-Biduk, Kab. Berau",Aman
Kabupaten Berau,Biduk-Biduk,"Desa Giring-Giring, Kec. Biduk-Biduk, Kab. Berau",Aman
Kabupaten Berau,Biduk-Biduk,"Desa Teluk Sulaiman, Kec. Biduk-Biduk, Kab. Berau",Aman
Kabupaten Berau,Pulau Derawan,"Desa Tanjung Batu, Kec. Pulau Derawan, kab. Berau",Bahaya
Kabupaten Berau,Pulau Derawan,"Desa Kasai, Kec. Pulau Derawan, kab. Berau",Siaga
Kabupaten Berau,Pulau Derawan,"Desa Pegat, Kec. Pulau Derawan, kab. Berau",Aman
Kabupaten Berau,Pulau Derawan,"Desa Teluk Semanting, Kec. Pulau Derawan, kab. Berau",Aman
Kabupaten Berau,Pulau Derawan,"Pulau Derawan, Kec. Pulau Derawan, kab. Berau",Aman
Kabupaten Berau,Maratua,"Maratua Payung-Payung, Kec. Maratua, Kab. Berau",Aman
Kabupaten Berau,Maratua,"Maratua Bohesilian, Kec. Maratua, Kab. Berau",Aman
Kabupaten Berau,Maratua,"Maratua Teluk Alulu, Kec. Maratua, Kab. Berau",Aman
Kabupaten Berau,Maratua,"Maratua Teluk Harapan, Kec. Maratua, Kab. Berau",Aman
Kabupaten Berau,Sambaliung,"Desa Pilanjau, Kec. Sambaliung, Kab. Berau",Waspada
Kabupaten Berau,Sambaliung,"Desa Sambaliung, Kec. Sambaliung, Kab. Berau",Siaga
Kabupaten Berau,Sambaliung,"Desa Pesayan, Kec. Sambaliung, Kab. Berau",Siaga
Kabupaten Berau,Sambaliung,"Desa Sukan Tengah, Kec. Sambaliung, Kab. Berau",Siaga
Kabupaten Berau,Sambaliung,"Desa Long Lanuk, Kec. Sambaliung, Kab. Berau",Aman
Kabupaten Berau,Sambaliung,"Desa Tumbit Dayak, Kec. Sambaliung, Kab. Berau",Aman
Kabupaten Berau,Sambaliung,"Desa Inaran, Kec. Sambaliung, Kab. Berau",Aman
Kabupaten Berau,Sambaliung,"Desa Pegat Bukur, Kec. Sambaliung, Kab. Berau",Aman
Kabupaten Berau,Sambaliung,"Desa Rantau Panjang, Kec. Sambaliung, Kab. Berau",Aman
Kabupaten Berau,Sambaliung,"Desa Bebanir, Kec. Sambaliung, Kab. Berau",Aman
Kabupaten Berau,Sambaliung,"Desa Gurimbang, Kec. Sambaliung, Kab. Berau",Aman
