1;Kabupaten Bintan;1;Gunung Kijang;1;Gunung Kijang;Waspada
;Kabupaten Bintan;;Gunung Kijang;2;Teluk Bakau;Waspada
;Kabupaten Bintan;;Gunung Kijang;3;Malang Rapat;Waspada
;Kabupaten Bintan;;Gunung Kijang;4;Kawal;Waspada
;Kabupaten Bintan;2;Bintan Timur;5;Kijang Kota;Bahaya
;Kabupaten Bintan;;Bintan Timur;6;Sungai Lekop;Aman
;Kabupaten Bintan;;Bintan Timur;7;Gunung Lengkuas;Aman
;Kabupaten Bintan;;Bintan Timur;8;Sungai Enam;Siaga
;Kabupaten Bintan;3;Bintan Utara;9;Tanjung Uban Kota;Bahaya
;Kabupaten Bintan;;Bintan Utara;10;Tanjung Uban Timur;Siaga
;Kabupaten Bintan;;Bintan Utara;11;Tanjung Uban Selatan;Aman
;Kabupaten Bintan;;Bintan Utara;12;Tanjung Uban Utara;Waspada
;Kabupaten Bintan;;Bintan Utara;13;Lancang Kuning;Waspada
;Kabupaten Bintan;;Teluk Bintan;15;Tembeling;Aman
;Kabupaten Bintan;4;Teluk Bintan;14;Tembeling Tanjung;Aman
;Kabupaten Bintan;;Teluk Bintan;16;Pengujan;Aman
;Kabupaten Bintan;;Teluk Bintan;17;Pangkil;Aman
;Kabupaten Bintan;;Teluk Bintan;18;Bintan Buyu;Aman
;Kabupaten Bintan;;Teluk Bintan;19;Penaga;Aman
;Kabupaten Bintan;5;Teluk Sebong;20;Sebong Pereh;Waspada
;Kabupaten Bintan;;Teluk Sebong;21;Ekang Anculai;Siaga
;Kabupaten Bintan;;Teluk Sebong;22;Sri Bintan;Bahaya
;Kabupaten Bintan;;Teluk Sebong;23;Pengudang;Bahaya
;Kabupaten Bintan;;Teluk Sebong;24;Sebong Lagoi;Bahaya
;Kabupaten Bintan;;Teluk Sebong;25;Berakit;Bahaya
;Kabupaten Bintan;;Teluk Sebong;26;Kota Baru;Waspada
;Kabupaten Bintan;6;Toapaya;27;Toapaya Utara;Aman
;Kabupaten Bintan;;Toapaya;28;Toapaya Asri;Aman
;Kabupaten Bintan;;Toapaya;29;Toapaya;Aman
;Kabupaten Bintan;;Toapaya;30;Toapaya Selatan;Aman
;Kabupaten Bintan;7;Mantang;31;Dendun;Aman
;Kabupaten Bintan;;Mantang;32;Mantang Besar;Aman
;Kabupaten Bintan;;Mantang;33;Mantang Lama;Aman
;Kabupaten Bintan;;Mantang;34;Mantang Baru;Aman
;Kabupaten Bintan;8;Bintan Pesisir;35;Kelong;Aman
;Kabupaten Bintan;;Bintan Pesisir;36;Air Glubi;Aman
;Kabupaten Bintan;;Bintan Pesisir;37;Mapur;Aman
;Kabupaten Bintan;;Bintan Pesisir;38;DesaNumbing;Siaga
;Kabupaten Bintan;9;Seri Kuala Lobam;39;Tanjung Permai;Siaga
;Kabupaten Bintan;;Seri Kuala Lobam;40;Teluk Sasah;Bahaya
;Kabupaten Bintan;;Seri Kuala Lobam;41;Busung;Waspada
;Kabupaten Bintan;;Seri Kuala Lobam;42;Kuala Sempang;Aman
;Kabupaten Bintan;;Seri Kuala Lobam;43;Teluk Lobam;Aman
;Kabupaten Bintan;10;Tambelan;44;Kampung Melayu;Aman
;Kabupaten Bintan;;Tambelan;45;Kampung Hilir;Aman
;Kabupaten Bintan;;Tambelan;46;Batu Lepuk;Aman
;Kabupaten Bintan;;Tambelan;47;Teluk Sekuni;Aman
;Kabupaten Bintan;;Tambelan;48;Kukup;Aman
;Kabupaten Bintan;;Tambelan;49;Pulau Mentebug;Aman
;Kabupaten Bintan;;Tambelan;50;Pulau Pinang;Aman
;Kabupaten Bintan;;Tambelan;51;Pengikik;Aman
2;Kabupaten Anambas;1;Siantan;52;Tarempa;Waspada
;Kabupaten Anambas;;Siantan;53;Tarempa Barat;Waspada
;Kabupaten Anambas;;Siantan;54;Tarempa Selatan;Waspada
;Kabupaten Anambas;;Siantan;55;Tarempa Timur;Siaga
;Kabupaten Anambas;;Siantan;56;Pesisir Timur;Siaga
;Kabupaten Anambas;;Siantan;57;Tarempa Barat Daya;Siaga
;Kabupaten Anambas;;Siantan;58;Sri Tanjung;Siaga
;Kabupaten Anambas;2;Siantan Timur;59;Munjan;Aman
;Kabupaten Anambas;;Siantan Timur;60;Batu Belah;Aman
;Kabupaten Anambas;;Siantan Timur;61;Nyamuk;Aman
;Kabupaten Anambas;;Siantan Timur;62;Temburun;Aman
;Kabupaten Anambas;;Siantan Timur;63;Serat;Aman
;Kabupaten Anambas;;Siantan Timur;64;Air Putih;Aman
;Kabupaten Anambas;3;Siantan Tengah;65;Air Asuk;Aman
;Kabupaten Anambas;;Siantan Tengah;66;Teluk Siantan;Aman
;Kabupaten Anambas;;Siantan Tengah;67;Air Sena;Aman
;Kabupaten Anambas;;Siantan Tengah;68;Lidi;Aman
;Kabupaten Anambas;;Siantan Tengah;69;Liuk;Aman
;Kabupaten Anambas;;Siantan Tengah;70;Teluk Sunting;Aman
;Kabupaten Anambas;4;Siantan Selatan;71;Kiabu;Aman
;Kabupaten Anambas;;Siantan Selatan;72;Telaga;Siaga
;Kabupaten Anambas;;Siantan Selatan;73;Mengkait;Siaga
;Kabupaten Anambas;;Siantan Selatan;74;Tiangau;Aman
;Kabupaten Anambas;;Siantan Selatan;75;Lingai;Aman
