PONTIANAK;PONTIANAK SELATAN;BENUAMELAYU LAUT;WASPADA
PONTIANAK;PONTIANAK SELATAN;BENUAMELAYU DARAT;BAHAYA
PONTIANAK;PONTIANAK SELATAN;PARITTOKAYA;WASPADA
PONTIANAK;PONTIANAK TIMUR;PARITMAYOR;SIAGA
PONTIANAK;PONTIANAK TIMUR;TANJUNGHULU;WASPADA
PONTIANAK;PONTIANAK TIMUR;TANJUNGHILIR;BAHAYA
PONTIANAK;PONTIANAK TIMUR;DALAMBUGIS;BAHAYA
PONTIANAK;PONTIANAK TIMUR;TAMBELANSAMPIT;WASPADA
PONTIANAK;PONTIANAK BARAT;PALLIMA;SIAGA
PONTIANAK;PONTIANAK BARAT;SUNGAIJAWI DALAM;SIAGA
PONTIANAK;PONTIANAK BARAT;SUNGAIJAWI LUAR;BAHAYA
PONTIANAK;PONTIANAK BARAT;SUNGAIBELIUNG;WASPADA
PONTIANAK;PONTIANAK KOTA;SUNGAIBANGKONG;BAHAYA
PONTIANAK;PONTIANAK KOTA;DARATSEKIP;SIAGA
PONTIANAK;PONTIANAK KOTA;SUNGAIJAWI;WASPADA
PONTIANAK;PONTIANAK UTARA;BATULAYANG;WASPADA
LANDAK;SEBANGKI;Sungai SEGAK;AMAN
LANDAK;NGABANG;SuNGAI KELI;AMAN
LANDAK;NGABANG;MU'UN;AMAN
LANDAK;JELIMPO;DARA ITAM I;AMAN
LANDAK;JELIMPO;NYI'IN;AMAN
LANDAK;MANDOR;SUMSUM;SIAGA
LANDAK;MENJALIN;RE'ES;WASPADA
LANDAK;MEMPAWAH HULU;Sungai LAKI;SIAGA
LANDAK;MEMPAWAH HULU;SALA'AS;AMAN
LANDAK;MENYUKE;TA'AS;AMAN
LANDAK;MENYUKE;Sungai LUBANG;SIAGA
LANDAK;MENYUKE;KAYU ARA;AMAN
MELAWI;TANAH PINOH;MADONG JAYA;SIAGA
MELAWI;TANAH PINOH;PELITA KeNAYA;AMAN
MELAWI;TANAH PINOH BARAT;TOGAN BARU;AMAN
MELAWI;SAYAN;LANDAU SAnDAK;AMAN
MELAWI;SAYAN;KaRANGAN PURUN;AMAN
MELAWI;BELIMBING;BALAI LAGAS;AMAN
MELAWI;BELIMBING;LANGAN;AMAN
MELAWI;BELIMBING HULU;TIONG KERANJI;AMAN
MELAWI;NANGA PINOH;SIDOMULYO;BAHAYA
MELAWI;PINOH SELATAN;NANGA PINTAS;AMAN
MELAWI;PINOH SELATAN;MANDAU BARU;AMAN
MELAWI;PINOH SELATAN;NANGA KELAWAI;AMAN
MELAWI;PINOH SELATAN;SENEMPAK;AMAN
MELAWI;PINOH SELATAN;LANDAU GARONG;AMAN
MELAWI;PINOH SELATAN;SUNGAI BAKAH;AMAN
MELAWI;PINOH SELATAN;NYANGGAI;AMAN
MELAWI;PINOH SELATAN;BAYUR RAYA;AMAN
MELAWI;PINOH SELATAN;BINA JAYA;AMAN
MELAWI;PINOH SELATAN;PELINGGANG;AMAN
MELAWI;PINOH SELATAN;MANGGALA;AMAN
MELAWI;PINOH SELATAN;LANDAU TUBUN;AMAN
MELAWI;ELLA HILIR;NANGA kALAN;AMAN
MELAWI;MENUKUNG;SUNGAI SAMPuK;AMAN
MELAWI;MENUKUNG;NANGA KERUAp;AMAN
MELAWI;MENUKUNG;PELAIK KERUAp;AMAN
SINTANG;SERAWAI;TENGKUNGAI;AMAN
SINTANG;SERAWAI;NANGA TANGGOI;AMAN
SINTANG;AMBALAU;NANGA KEREMoi;AMAN
SINTANG;AMBALAU;PULOu SABHANG;AMAN
SINTANG;KAYAN HULU;MERAH ARAI;AMAN
SINTANG;SEPAUK;BUNGKONG BARU;AMAN
SINTANG;TEMPUNAK;PeRIBANG BARU;AMAN
SINTANG;SUNGAI TEBELIAN;BAYA BETuNG;AMAN
SINTANG;SUNGAI TEBELIAN;MERARAI SATU;AMAN
SINTANG;SUNGAI TEBELIAN;sABANG SURAI;AMAN
SINTANG;SINTANG;MeRTI GUNA;AMAN
SINTANG;SINTANG;MAIL JaMPONG;AMAN
SINTANG;DEDAI;PaNGKADAN SUNGAI RUPA;AMAN
SINTANG;DEDAI;MaNAoNG BARU;AMAN
SINTANG;KAYAN HILIR;LENGKONG BINDU;AMAN
SINTANG;BINJAI HULU;BINJAi HULU;AMAN
SINTANG;BINJAI HULU;SIMBA RAYA;AMAN
SINTANG;KETUNGAU HILIR;MUNGGUK KElApA;AMAN
SINTANG;KETUNGAU Tengah;BAGELANG JAYA;AMAN
SINTANG;KETUNGAU Tengah;ARGO MULYO;AMAN
SINTANG;KETUNGAU Tengah;WANA BhAKTI;AMAN
SINTANG;KETUNGAU Tengah;LANDAU BUAYA;AMAN
SINTANG;KETUNGAU HULU;EMPUNAK TAPAng KELADAN;AMAN
SINTANG;KETUNGAU HULU;EMBALeH;AMAN
MEMPAWAH;SIANTAN;WAJO HILIR;SIAGA
MEMPAWAH;SIANTAN;WAJO HULU;SIAGA
MEMPAWAH;SEGEDONG;Sungai BURUNG;SIAGA
MEMPAWAH;SEGEDONG;Sungai PURUN BESAR;SIAGA
MEMPAWAH;SUNGAI PINYUH;Sungai PURUN KECIL;SIAGA
MEMPAWAH;SUNGAI PINYUH;Sungai BAKAR BESAR LAUT;SIAGA
MEMPAWAH;SUNGAI PINYUH;Sungai BAKAU BESAR DARAT;SIAGA
MEMPAWAH;SUNGAI KUNYIT;Sungai DUNGUN;SIAGA
MEMPAWAH;SUNGAI KUNYIT;Sungai LIMAU;SIAGA
MEMPAWAH;SUNGAI KUNYIT;Sungai KUNYIT LAUT;SIAGA
MEMPAWAH;SUNGAI KUNYIT;Sungai KUNYIT DALAM;SIAGA
MEMPAWAH;SUNGAI KUNYIT;Sungai BUNDUNG LAUT;SIAGA
MEMPAWAH;SUNGAI KUNYIT;Sungai DURI I;SIAGA
MEMPAWAH;SUNGAI KUNYIT;Sungai DURI II;SIAGA
MEMPAWAH;TOHO;SaMBORA;SIAGA
MEMPAWAH;TOHO;PAK UTAN;AMAN
MEMPAWAH;SADANIANG;BUM-BUN;AMAN
MEMPAWAH;SADANIANG;SUAK BaRANGAN;AMAN
KUBU RAYA;BATU AMPAR;PADANG TIKAR Satu;WASPADA
KUBU RAYA;BATU AMPAR;PADANG TIKAR Dua;WASPADA
KUBU RAYA;BATU AMPAR;Sungai KARAWANG;WASPADA
KUBU RAYA;TERENTANG;SUNGAI RADAK Satu;SIAGA
KUBU RAYA;TERENTANG;SUNGAI RADAK Dua;SIAGA
KUBU RAYA;KUBU;JANGKANG Satu;SIAGA
KUBU RAYA;KUBU;JANGKANG Dua;SIAGA
KUBU RAYA;KUBU;OLAK-OLAK KUBU;SIAGA
KUBU RAYA;KUBU;SERUAT Tiga;SIAGA
KUBU RAYA;KUBU;SERUAT Dua;SIAGA
KUBU RAYA;KUBU;Sungai BEMBAN;SIAGA
KUBU RAYA;KUBU;PERSIAPAN BEMBAN TIMUR;SIAGA
KUBU RAYA;TELUK PAKEDAI;Sungai NIBUNG;SIAGA
KUBU RAYA;TELUK PAKEDAI;SERUAT Satu;SIAGA
KUBU RAYA;TELUK PAKEDAI;TELUK PAKEDAI Dua;SIAGA
KUBU RAYA;TELUK PAKEDAI;TELUK PAKEDAI Satu;SIAGA
KUBU RAYA;TELUK PAKEDAI;Sungai DERAS;SIAGA
KUBU RAYA;SUNGAI KAKAP;PUNGUR BESAR;BAHAYA
KUBU RAYA;SUNGAI KAKAP;PUNGUR KECIL;WASPADA
KUBU RAYA;SUNGAI KAKAP;PAL Sembilan;BAHAYA
KUBU RAYA;SUNGAI KAKAP;PARIT KELADI;SIAGA
KUBU RAYA;SUNGAI KAKAP;RENGAS KAPUAS;SIAGA
KUBU RAYA;RASAU JAYA;RASAU JAYA Tiga;BAHAYA
KUBU RAYA;RASAU JAYA;RASAU JAYA Satu;WASPADA
KUBU RAYA;RASAU JAYA;RASAU JAYA Dua;SIAGA
KUBU RAYA;SUNGAI RAYA;KALIBANDUNG;WASPADA
KUBU RAYA;SUNGAI RAYA;PERMATA JAYA;SIAGA
KUBU RAYA;SUNGAI RAYA;SUKULANTING;SIAGA
KUBU RAYA;SUNGAI AMBAWANG;PANCAROBA;WASPADA
KUBU RAYA;SUNGAI AMBAWANG;AMPERA RAYA;WASPADA
KUBU RAYA;SUNGAI AMBAWANG;PERSIAPAN SIMPANG RAYA;AMAN
KUBU RAYA;SUNGAI AMBAWANG;PERSIAPAN KUALA BAKUNG;AMAN
KUBU RAYA;SUNGAI AMBAWANG;PERSIAPAN LINTANG BATANG;AMAN
KUBU RAYA;KUALA MANDOR B;PADI JAYA;AMAN
KUBU RAYA;KUALA MANDOR B;SuNGAI ENAU;AMAN
SINGKAWANG;SINGKAWANG TIMUR;NYARUmKOP;WASPADA
SINGKAWANG;SINGKAWANG TIMUR;MAYA SOPA;WASPADA
SINGKAWANG;SINGKAWANG UTARA;Sungai BULAN;WASPADA
SINGKAWANG;SINGKAWANG UTARA;Sungai RASAU;WASPADA
SINGKAWANG;SINGKAWANG TENGAH;Sungai WIE;WASPADA
SAMBAS;SEMPARUK;SINGA RAYA;AMAN
SAMBAS;TEBAS;BUKIT SiGOLER;AMAN
SAMBAS;TEBAS;MATANG LABoNG;AMAN
SAMBAS;TEBAS;MAKTANGGUK;AMAN
SAMBAS;TEBAS;MAKRAMPAI;AMAN
SAMBAS;TEKARANG;MERUBuNG;AMAN
SAMBAS;SAMBAS;Sungai RAMBAH;AMAN
SAMBAS;SUBAH;Sungai SAPA';AMAN
SAMBAS;SUBAH;SEMpURNA;AMAN
SAMBAS;SUBAH;SEI DEDEN;AMAN
SAMBAS;SEBAWI;SEMANJANG;AMAN
SAMBAS;JAWAI;Sungai NYIRIH;SIAGA
SAMBAS;JAWAI;Sungai NILAM;AMAN
SAMBAS;JAWAI SELATAN;JELU AIR;AMAN
SAMBAS;JAWAI SELATAN;SARI LABA B;AMAN
